company_id,canonical_name,short_code,tier,primary_trade_id,notes
0,Unknown/Activity Code,UNKNOWN,OTHER,,Placeholder for unmapped or activity description codes
1,Samsung Electronics Co America,SECAI,OWNER,12,Project owner
2,W.G. Yates & Sons Construction,YATES,GC,12,General contractor
3,Baker Concrete Construction,BAKER,T1_SUB,1,Concrete contractor - topping slabs SOMD elevated slabs
4,Berg Drywall,BERG,T1_SUB,4,Drywall and framing contractor
5,Brazos Urethane,BRAZOS,T1_SUB,8,Urethane insulation and coatings
6,Cherry Coatings,CHERRY,T1_SUB,5,Painting and coatings contractor
7,Patriot Erectors,PATRIOT,T1_SUB,2,Steel erection contractor
8,Kovach Building Enclosures,KOVACH,T1_SUB,11,Metal panel and enclosure systems
9,MK Marlow,MK_MARLOW,T1_SUB,7,MEP contractor
10,Rolling Plains Construction,ROLLING_PLAINS,T1_SUB,3,Roofing contractor
11,W&W Steel,WW_STEEL,T1_SUB,2,Structural steel fabrication and erection
12,FD Thomas,FD_THOMAS,T1_SUB,6,Fireproofing SFRM contractor
13,Alpha Painting,ALPHA,T1_SUB,5,Painting contractor
14,Apache Industrial Services,APACHE,T1_SUB,8,Insulation contractor
15,Infinity Mechanical Insulation,INFINITY,T1_SUB,8,Mechanical insulation
16,LATCON,LATCON,T1_SUB,2,Steel contractor
17,GDA Construction,GDA,T1_SUB,12,General construction
18,Grout Tech,GROUT_TECH,T1_SUB,1,Grouting and concrete repair
19,AH Beck Foundation,AH_BECK,T1_SUB,9,Deep foundations and earthwork
20,Cobb Mechanical,COBB,T1_SUB,7,Mechanical contractor
21,Perry & Perry Specialties,PERRY,T1_SUB,5,Architectural specialties
22,Alert Lock & Key,ALERT,T1_SUB,5,Door hardware installation
23,Spectra Contract Flooring,SPECTRA,T1_SUB,5,Flooring contractor
24,Gateway Fabrication,GATEWAY,T1_SUB,2,Miscellaneous steel fabrication
25,Star Building Systems,STAR,T1_SUB,2,Pre-engineered metal buildings
26,Texas Scenic,TEXAS_SCENIC,T1_SUB,5,Specialty finishes
27,Marek Brothers,MAREK,T1_SUB,4,Drywall and acoustical contractor
28,Performance Contracting,PCI,T1_SUB,8,Insulation and fireproofing
29,Lindamood Demolition,LINDAMOOD,T1_SUB,9,Demolition and earthwork
30,ISEC,ISEC,T1_SUB,5,Interior systems contractor
31,Bernco,BERNCO,T1_SUB,,Unknown trade - from P6 Z-SUB
32,H2I Group,H2I,T1_SUB,,Unknown trade - from P6 Z-SUB
33,Select Prefab,SELECT_PREFAB,T1_SUB,,Prefabrication - from P6 Z-SUB
